facility_name,zip_code,formatted_zipcode,city,county
Colorado Corgis And Friends,80226,80226,Denver,Jefferson
Colorado Feline Foster Rescue,80465,80465,Morrison,Jefferson
Colorado Greyhound Adoption,80161,80161,Littleton,Arapahoe
Colorado Herding Dog Rescue,80210,80210,Denver,Denver
Colorado House Rabbit Society,80516,80516,Erie,Weld
Colorado Japanese Chin Rescue,80047,80047,Aurora,Arapahoe
Colorado Kitty Coalition,80526,80526,Fort Collins,Larimer
"Colorado Liaison For Animal Welfare Alliance, Inc",80001,80001,Arvada,Jefferson
"Colorado Peke And Pom Rescue, Inc",80465,80465,Morrison,Jefferson
Colorado Pug Rescue,80136,80136,Strasburg,Adams
Colorado Puppy Rescue Of Colorado,80134,80134,Parker,Douglas
Colorado Reptile Humane Society,80504,80504,Longmont,Boulder
"Colorado Rescue Tails, Inc",81416,81416,Delta,Delta
Colorado Rez Muttz,80026,80026,Lafayette,Boulder
Colorado Rhodesian Ridgeback Rescue,80112,80112,Englewood,Arapahoe
Colorado Saint Bernard Rescue,80250,80250,Denver,Denver
Colorado Senior Dog Rescue And Hospice,80237,80237,Denver,Denver
Colorado Sheltie Rescue,81007,81007,Pueblo,Pueblo
Colorado Shiba Inu Rescue,80047,80047,Aurora,Arapahoe
"Colorado Springs All Breed Rescue, Inc",80907,80907,Colorado Springs,El Paso
"Colorado St. Bernard Rescue, Inc",80250,80250,Denver,Denver
"Colorado Wyoming Vizsla Rescue Group, Inc",80919,80919,Colorado Springs,El Paso
Compassion Project Rescue,81621,81621,Basalt,Eagle
Cooper's Companions Animal Rescue,81006,81006,Pueblo,Pueblo
Copper Fox Ranch Arctic Breed And Wolf Dog Rescue,80621,80621,Fort Lupton,Weld
Cortez Animal Shelter,81321,81321,Cortez,Montezuma
County Of Bent / City Of Las Animas Animal Shelter,81054,81054,Las Animas,Bent
County Of Clear Creek Animal Shelter,80444,80444,Georgetown,Clear Creek
County Of Park Animal Shelter,80440,80440,Fairplay,Park
"Creature Box, Llc",80918,80918,Colorado Springs,El Paso
Cripple Creek Animal Shelter,80813,80813,Cripple Creek,Teller
Cuddle Bug Chinchillas,80013,80013,Aurora,Arapahoe
Dakota Ranch Dog Rescue,80830,80830,Matheson,Elbert
"Dalmatian Rescue Of Colorado, Inc",80538,80538,Loveland,Larimer
"Dancing Dog Rescue And Recovery Ranch, Inc",80022,80022,Commerce City,Adams
"Deanna Davidson - Callahan, Rainbow Otter Animal Sanctuary",80540,80540,Lyons,Boulder
Delta County Citizens For Animal Welfare And Shelter,81428,81428,Paonia,Delta
Delta County Humane Society,81416,81416,Delta,Delta
"Demi's Animal Rescue, Inc",80215,80215,Denver,Jefferson
Denkai Animal Sanctuary,80751,80751,Sterling,Logan
Denver Animal Protection,80223,80223,Denver,Denver
Denver Animal Shelter,80204,80204,Denver,Denver
Denver Cat Company,80205,80205,Denver,Denver
Denver Cat Rescue,80212,80212,Denver,Denver
Denver Dachshunds Rescue And Transport,80226,80226,Denver,Jefferson
Denver Dumb Friends League - San Luis Valley Animal Center,81101,81101,Alamosa,Alamosa
Denver Kittens,80224,80224,Denver,Denver
"Denver Samoyed Association, Inc (Denver Samoyed Rescue)",80001,80001,Arvada,Jefferson
Divide Creek Animal Hospital,81652,81652,Silt,Garfield
"Divine Feline, Inc",80223,80223,Denver,Denver
Dizzy Dog Animal Rescue,80465,80465,Morrison,Jefferson
"Dmk Rehoming, Inc",81027,81027,Branson,Las Animas
Do Over Dogs A Second Chance At Life,80020,80020,Broomfield,Broomfield
Doberman Rescue Of Colorado,80210,80210,Denver,Denver
Doggy Dog World Rescue,80125,80125,Littleton,Douglas
Dogs Unbroken,80503,80503,Longmont,Boulder
Douglas County Canine Rescue,80104,80104,Castle Rock,Douglas
Dumb Friends League,80112,80112,Englewood,Arapahoe
Dumb Friends League - Buddy Center,80109,80109,Castle Rock,Douglas
Dumb Friends League - Malone Center,80231,80231,Denver,Denver
Dumb Friends League - Veterinary Hospital At Csu Spur,80216,80216,Denver,Denver
Dumb Friends League (Denver),80231,80231,Denver,Denver
Dumb Friends League / Petco,80231,80231,Denver,Denver
Dumb Friends League Buddy Center,80109,80109,Castle Rock,Douglas
Dumb Friends League San Luis Valley Animal Center,81101,81101,Alamosa,Alamosa
"Duncan's Place, A Cat Sanctuary",80537,80537,Loveland,Larimer
Durango Animal Connection,81303,81303,Durango,La Plata
Eagle County Animal Shelter And Services,81631,81631,Eagle,Eagle
Eagle Valley Humane Society,81631,81631,Eagle,Eagle
Eastern Plains Animal Welfare Alliance EPAWA,80807,80807,Burlington,Kit Carson
Eaton Animal Den,80615,80615,Eaton,Weld
Echo Acres,80439,80439,Evergreen,Jefferson
El Paso County Canine Rescue,80920,80920,Colorado Springs,El Paso
English Springer Rescue America,80161,80161,Littleton,Arapahoe
"Estes Park Pet Lodge, Inc",80517,80517,Estes Park,Larimer
Evergreen Animal Protective League,80437,80437,Evergreen,Jefferson
Every Creature Counts,80621,80621,Fort Lupton,Weld
"Exotic Bird Ranch, Inc",80231,80231,Denver,Denver
Farfel's Farm And Rescue,80302,80302,Boulder,Boulder
"Feeders Unlimited, Llc",80631,80631,Greeley,Weld
Feline Rescue Network / Look What The Cat Brought In,80909,80909,Colorado Springs,El Paso
Fen's Haven,80126,80126,Littleton,Douglas
Ferret Dreams Rescue And Adoption,80210,80210,Denver,Denver
"Fins And Feathers, Llc",80918,80918,Colorado Springs,El Paso
Flanders's Flying Friends Co,80221,80221,Denver,Adams
Flitesong Cage Bird Sanctuary,80138,80138,Parker,Douglas
Foothills Animal Shelter,80401,80401,Golden,Jefferson
"For The Howl Of It Recue, Inc",80905,80905,Colorado Springs,El Paso
For The Love Of Birds,80603,80603,Brighton,Weld
For The Love Of Paws,80226,80226,Denver,Jefferson
Forgotten Felines Rescue,80014,80014,Aurora,Arapahoe
Fort Collins Cat Rescue And Spay / Neuter Clinic,80524,80524,Fort Collins,Larimer
Fort Lupton Police Department,80621,80621,Fort Lupton,Weld
Fort Lupton Veterinary Hospital,80621,80621,Fort Lupton,Weld
Fort Morgan Humane Society,80701,80701,Fort Morgan,Morgan
Foster Kitten Mama Rescue,80108,80108,Castle Rock,Douglas
Found Nation Dog Rescue,80031,80031,Westminster,Adams
"Freedom Service Dogs, Inc",80112,80112,Englewood,Arapahoe
Friends Of Cedaredge Animal Control,81413,81413,Cedaredge,Delta
Friends Of Retired Greyhounds,80614,80614,Eastlake,Adams
"From Forgotten To Forever Rescue And Transport, Inc",81089,81089,Walsenburg,Huerfano
Front Range Freedom Rescue,80120,80120,Littleton,Arapahoe
Front Range German Shepherd Rescue,80223,80223,Denver,Denver
Front Range Reptiles,80525,80525,Fort Collins,Larimer
Fureverdog Rescue And Boarding,80621,80621,Fort Lupton,Weld
Garden Valley Veterinary Hospital,80550,80550,Windsor,Weld
"Garfield County Animal Welfare Foundation, Inc",81650,81650,Rifle,Garfield
German Shepherd Rescue Of Central Colorado,81211,81211,Buena Vista,Chaffee
German Shepherd Rescue Of The Rockies,80701,80701,Fort Morgan,Morgan
"Golden Retriever Freedom Rescue, Inc",80250,80250,Denver,Denver
Golden Retriever Rescue Of The Rockies,80007,80007,Arvada,Jefferson
Graceland Animal Rescue,81507,81507,Grand Junction,Mesa
Graceland Animal Rescue And Sanctuary,81507,81507,Grand Junction,Mesa
Grand County Animal Shelter,80446,80446,Granby,Grand
Grand Rivers Humane Society,81507,81507,Grand Junction,Mesa
Grand Valley Pit Crew,81501,81501,Grand Junction,Mesa
Gray Muzzle Society,80465,80465,Morrison,Jefferson
Great Pyrenees Rescue And Sanctuary,80831,80831,Peyton,El Paso
Greenhorn Valley Animal Rescue,81040,81040,Gardner,Huerfano
Grey Ghost Weimaraner Rescue,80132,80132,Monument,El Paso
Gritty Pittie Rescue,80501,80501,Longmont,Boulder
Gunnison Animal Shelter,81230,81230,Gunnison,Gunnison
"Gunnison Underdog Rescue, Inc",81230,81230,Gunnison,Gunnison
"Gunnison Valley Animal Welfare League, Inc",81230,81230,Gunnison,Gunnison
Happily Ever After Canine Rescue,80525,80525,Fort Collins,Larimer
"Happy Cats Haven, Inc",80829,80829,Manitou Springs,El Paso
Happy Haven Farm And Sanctuary,80103,80103,Byers,Arapahoe
"Happy Hounds Rescue, Inc",80438,80438,Empire,Clear Creek
Happy Little Rescue / Harmony,81505,81505,Grand Junction,Mesa
Happy Tails,80016,80016,Aurora,Arapahoe
Harley's Dream,80513,80513,Berthoud,Larimer
Harley's Hope Foundation,80908,80908,Colorado Springs,El Paso
Harmony Animal Matchmaker And Sanctuary,81505,81505,Grand Junction,Mesa
Havok's Wolfpack,80302,80302,Boulder,Boulder
Headwaters Hounds Kennel,81611,81611,Aspen,Pitkin
Hearthfire Keep Fka Happy Haven Farm And Sanctuary,80103,80103,Byers,Arapahoe
Hemosolutions,80917,80917,Colorado Springs,El Paso
"High Country Basset Hound Rescue And Adoption Service, Inc",80620,80620,Evans,Weld
Ho - Bo Care Boxer Rescue,80209,80209,Denver,Denver
Hoffmann's Little Haven,80135,80135,Sedalia,Douglas
"Home Sweet Home Rescue, Llc",80112,80112,Englewood,Arapahoe
Homecomings Dog Rescue,80226,80226,Denver,Jefferson
Homeless Boxer Care,80209,80209,Denver,Denver
Homeward Bound Rescue Of Colorado,80634,80634,Greeley,Weld
"Hoof And Paw, Inc",81424,81424,Nucla,Montrose
Hope For Animals - Clear Creek Rescue,80444,80444,Georgetown,Clear Creek
House Of Exotics,81212,81212,Canon City,Fremont
Humane Society Of Boulder Valley,80301,80301,Boulder,Boulder
"Humane Society Of Fremont County, Inc",81212,81212,Canon City,Fremont
Humane Society Of Pagosa Springs,81147,81147,Pagosa Springs,Archuleta
Humane Society Of The Pikes Peak Region,80905,80905,Colorado Springs,El Paso
"Humane Society Of The South Platte Valley, Inc",80120,80120,Littleton,Arapahoe
"Humane Society Of Weld County, Inc",80631,80631,Greeley,Weld
"Indigo Mountain Nature Center, Inc",80827,80827,Lake George,Park
Innocent Paws Puppy Rescue,80539,80539,Loveland,Larimer
"Insidereef, Llc",80918,80918,Colorado Springs,El Paso
Intermountain Humane Society,80470,80470,Pine,Jefferson
"International Hearing Dog, Inc",80640,80640,Henderson,Adams
IresQ,80437,80437,Evergreen,Jefferson
Izzy's Place Senior Dog Rescue,80524,80524,Fort Collins,Larimer
Jailbreak Husky Rescue,80219,80219,Denver,Denver
Jewels Senior Dog Rescue,80220,80220,Denver,Denver
"Jj's Helping Paws, Inc",81212,81212,Canon City,Fremont
"Journey Home Animal Care Center, Inc",80503,80503,Longmont,Boulder
Katmandu Paonia,81428,81428,Paonia,Delta
"Kneady Kitten Rescue, Inc",80220,80220,Denver,Denver
Kot Kitten Korner,80501,80501,Longmont,Boulder
L.O.L.A's Rescue,80018,80018,Aurora,Arapahoe
La Junta Animal Shelter,81050,81050,La Junta,Otero
La Plata County Humane Society,81303,81303,Durango,La Plata
Larimer Humane Society,80538,80538,Loveland,Larimer
Laws4Paws,81005,81005,Pueblo,Pueblo
Leadville Lake County Animal Shelter,80461,80461,Leadville,Lake
Life Is Better Rescue,80219,80219,Denver,Denver
Life Is Better Rescue (Cat Shelter),80219,80219,Denver,Denver
Life Is Better Rescue (Dog Shelter),80219,80219,Denver,Denver
Lifeline Puppy Rescue,80602,80602,Brighton,Adams
Lightshine Canine: A Rez Dog Rescue,80501,80501,Longmont,Boulder
Lisa Parker's Puppies,81301,81301,Durango,La Plata
Little Rescues On The Prairie,80705,80705,Log Lane Village,Morgan
Live Love Animal Rescue,80123,80123,Littleton,Jefferson
"Loma Cat House, Inc",81501,81501,Grand Junction,Mesa
Longmont Friends Of Feral And Abandoned Cats,80504,80504,Longmont,Boulder
Longmont Humane Society,80501,80501,Longmont,Boulder
"Lost Our Home Pet Rescue Of Western Colorado, Inc",81502,81502,Grand Junction,Mesa
Lucille's Voice Animal Education And Emergency Rescue Center,81240,81240,Penrose,Fremont
Lucky Day Animal Rescue,81612,81612,Aspen,Pitkin
Lucky Paws Rescue,81612,81612,Aspen,Pitkin
Majestic Canine Rescue,80864,80864,Yoder,El Paso
Mattersville Yoder,80864,80864,Yoder,El Paso
Maxfund Animal Adoption Center,80204,80204,Denver,Denver
Meeker Cat Coalition,81641,81641,Meeker,Rio Blanco
Meow Manor,80237,80237,Denver,Denver
Mesa County Animal Services,81527,81527,Whitewater,Mesa
Metro Denver Parrot Rescue - The Perch,80012,80012,Aurora,Arapahoe
"Mile High Canine Rescue, Inc",80126,80126,Littleton,Douglas
"Mile High Dachshunds Rescue, Inc",80004,80004,Arvada,Jefferson
Mile High German Shorthaired Pointer Rescue,80504,80504,Longmont,Boulder
"Mile High Labrador Retriever Mission, Inc",80038,80038,Broomfield,Broomfield
"Mile High Meowies, Inc",80016,80016,Aurora,Arapahoe
Mile High Weimaraner Rescue,80498,80498,Silverthorne,Summit
"Mo Min Pin Rescue, Corp",80908,80908,Colorado Springs,El Paso
Moe Moe's Bulldog Rescue Of The Rockies,80223,80223,Denver,Denver
Moe Moe's Rescue Of The Rockies,80138,80138,Parker,Douglas
"Moms And Mutts Colorado Rescue For Pregnant And Nursing Dogs, Llc",80129,80129,Littleton,Douglas
Montrose Animal Services,81401,81401,Montrose,Montrose
Montrose Animal Shelter,81401,81401,Montrose,Montrose
Mother Gaia Animal Rescue,80209,80209,Denver,Denver
Mountain High Collie And Sheltie Rescue,81007,81007,Pueblo,Pueblo
"Mountain High Service Dogs, Inc",80123,80123,Littleton,Jefferson
Mountain Pet Rescue,80482,80482,Winter Park,Grand
Must Love Pups Formerly New Wave Pups,80209,80209,Denver,Denver
Mutts N Such Rescue,80453,80453,Idledale,Jefferson
"My Fairy Dawg Mother Rescue, Inc",80027,80027,Louisville,Boulder
"My Second Home Rescue, Inc",80016,80016,Aurora,Arapahoe
"National Canine Advocacy Group, Inc",80130,80130,Littleton,Douglas
National Mill Dog Rescue,80831,80831,Peyton,El Paso
New Favorite Day,80121,80121,Littleton,Arapahoe
"New Hope Cattle Dogs, Rescue And Rehoming",80907,80907,Colorado Springs,El Paso
Nikeno's Second Chances,80215,80215,Denver,Jefferson
No Feline Left Behind,80401,80401,Golden,Jefferson
No Hound Unhomed,80112,80112,Englewood,Arapahoe
Noah's Ark Animal Welfare Association,81147,81147,Pagosa Springs,Archuleta
Noco Cat Cafe,80526,80526,Fort Collins,Larimer
Noco Humane,80524,80524,Fort Collins,Larimer
Nocokitties,80526,80526,Fort Collins,Larimer
North Star Siberian Husky Rescue,80219,80219,Denver,Denver
Northern Colorado Herpetological Society,80524,80524,Fort Collins,Larimer
Obe's Angels Rescue,80209,80209,Denver,Denver
"Oh Be Dogful Pet Ranch, Inc",81615,81615,Snowmass Village,Pitkin
Oh Be Dogful Rescue,80220,80220,Denver,Denver
Old Dogs New Digs,80121,80121,Littleton,Arapahoe
Old Soul Canine Rescue,80110,80110,Englewood,Arapahoe
Once Upon A Dog,80209,80209,Denver,Denver
One Dog At A Time Colorado,80905,80905,Colorado Springs,El Paso
Operation Secondhand Paws,80112,80112,Englewood,Arapahoe
"Opposable Thumb Marekting, Llc",80016,80016,Aurora,Arapahoe
Outpaws,80222,80222,Denver,Denver
Overturf Animal Sanctuary,80134,80134,Parker,Douglas
Painted Paws For Veterans,80216,80216,Denver,Denver
Paired Souls Animal Rescue And Rehabilitation,80540,80540,Lyons,Boulder
Pal's Forever Animal Rescue,80120,80120,Littleton,Arapahoe
Pampa Animal Welfare Society,81004,81004,Pueblo,Pueblo
Paradise Animal Welfare Society,81224,81224,Crested Butte,Gunnison
Paragon Service Dogs,80112,80112,Englewood,Arapahoe
Parker Exotic Pets,80134,80134,Parker,Douglas
Parker's Animal Rescue,80134,80134,Parker,Douglas
Paws And Effect Canine Rescue Of Colorado,80124,80124,Lone Tree,Douglas
Paws And People,80004,80004,Arvada,Jefferson
Paws For Life Animal Welfare And Protection Society,81008,81008,Pueblo,Pueblo
Paws On The Ground Colorado,80104,80104,Castle Rock,Douglas
Pawsco,80206,80206,Denver,Denver
Pawsecond Chance Rescue And Thrift,80209,80209,Denver,Denver
"Pawsitive Reaction, Inc",80126,80126,Littleton,Douglas
Pawsitive Restorations Animal Rescue,80918,80918,Colorado Springs,El Paso
Peaceful Animal Adoption Shelter (PAAS),80863,80863,Woodland Park,Teller
Peak View Animal Hospital,81212,81212,Canon City,Fremont
"Peanut's Place Bully Rescue, Inc",80864,80864,Yoder,El Paso
"Pei People Shar Pei Rescue, Inc",80209,80209,Denver,Denver
"Pembroke Welsh Corgi Club Of The Rockies Rescue, Inc",80130,80130,Littleton,Douglas
