facility_name,zip_code,formatted_zipcode,city,county
"Second Chance Jack Animal Rescue, Inc",80210,80210,Denver,Denver
Sloppy Kisses Animal Rescue,80210,80210,Denver,Denver
Slv Spay And Neuter Alliance,81101,81101,Alamosa,Alamosa
Small Paws Retirement Village,80016,80016,Aurora,Arapahoe
Small Senior Paws Retirement Village,80016,80016,Aurora,Arapahoe
Snow Buddy,80447,80447,Grand Lake,Grand
Snow Buddy Dog Sled Tours,80447,80447,Grand Lake,Grand
Snow Buddy Sled Dog Adventures,80447,80447,Grand Lake,Grand
Snow Capped Shepherd Rescue,80016,80016,Aurora,Arapahoe
Someone2Love,80129,80129,Littleton,Douglas
"Soul Dogs, Inc",80465,80465,Morrison,Jefferson
Southern Colorado Spay And Neuter Association,81003,81003,Pueblo,Pueblo
"Southern Mutts Rescue, Inc",81008,81008,Pueblo,Pueblo
Special Needs Animal Rescue League (SNARL),80907,80907,Colorado Springs,El Paso
Spirit Keeper Animal Sanctuary,80827,80827,Lake George,Park
"Springer Spaniel Rescue, Inc",80161,80161,Littleton,Arapahoe
Springfield,80807,80807,Burlington,Kit Carson
St Boulder,80234,80234,Denver,Adams
St East,80234,80234,Denver,Adams
St East And St North,80234,80234,Denver,Adams
St North,80234,80234,Denver,Adams
Stay Animal Rescue,80123,80123,Littleton,Jefferson
Steel City Alley Cats Coalition,81004,81004,Pueblo,Pueblo
Sterling Ranch Specialty Shelter,80126,80126,Littleton,Douglas
Steven J Bentley Homeward Bound Facility,80401,80401,Golden,Jefferson
Stray And Orphaned Animal Rescue (SOAR),80916,80916,Colorado Springs,El Paso
Summit County Animal Control And Shelter,80424,80424,Breckenridge,Summit
Summit Dog Rescue,80443,80443,Frisco,Summit
Sunrise Service Dogs,80539,80539,Loveland,Larimer
Sunshine Canyon Dog Rescue,80401,80401,Golden,Jefferson
Surface Creek Animal Shelter,81413,81413,Cedaredge,Delta
"Tagg Rescue, Inc",80123,80123,Littleton,Jefferson
Taysia Blue Siberian Husky Rescue Nebraska,80219,80219,Denver,Denver
Team Leo Animal Rescue,80134,80134,Parker,Douglas
"Teller County Regional Animal Shelter, Inc",80863,80863,Woodland Park,Teller
Telluride Humane Society,81435,81435,Telluride,San Miguel
The Animal Assistance League And Sanctuary,80214,80214,Denver,Jefferson
"The Animal Debt Project, Inc",80123,80123,Littleton,Jefferson
The Animal Hospital Of Telluride,81435,81435,Telluride,San Miguel
The Animal Interest League And Sanctuary,80214,80214,Denver,Jefferson
The Animal Rescue Colorado,80120,80120,Littleton,Arapahoe
The Biscuit Factory Cat Lounge,80205,80205,Denver,Denver
The Denver Dumb Friends League,80231,80231,Denver,Denver
The Dog Ranch,80465,80465,Morrison,Jefferson
The Feline Fix,80223,80223,Denver,Denver
The Forgotten Bull Terriers,80504,80504,Longmont,Boulder
"The Gabriel Foundation, Inc",80521,80521,Fort Collins,Larimer
"The Good Dog Rescue, Llc",80122,80122,Littleton,Arapahoe
The Humane Society Of Boulder Valley,80301,80301,Boulder,Boulder
"The Humane Society Of Pagosa Springs, Inc",81157,81157,Pagosa Springs,Archuleta
The Lazarus Fund,80908,80908,Colorado Springs,El Paso
The Meeker Cat Coalition,81641,81641,Meeker,Rio Blanco
The Misfits Dog Rescue,80112,80112,Englewood,Arapahoe
The Montrose Bully Breed Club,81401,81401,Montrose,Montrose
The Old Mutt Hut,80112,80112,Englewood,Arapahoe
The Snuggle Is Real Animal Rescue,80138,80138,Parker,Douglas
"The Sunrise Foundation, Ltd",80401,80401,Golden,Jefferson
The Tullio's,80214,80214,Denver,Jefferson
"Thunder Puppy K9 Rehabilitation And Rehoming, Inc",80138,80138,Parker,Douglas
Toby Darwin Foundation,80124,80124,Lone Tree,Douglas
"Tortoise And The Hare Common To Exotic Pets, Llc",80525,80525,Fort Collins,Larimer
Town Of Akron,80720,80720,Akron,Washington
Town Of Cheyenne Wells,80815,80815,Flagler,Kit Carson
Town Of Dove Creek,81324,81324,Dove Creek,Dolores
Town Of La Veta Animal Shelter,81055,81055,La Veta,Huerfano
Town Of Limon Animal Shelter,80828,80828,Limon,Lincoln
Town Of Meeker Animal Control Facility,81641,81641,Meeker,Rio Blanco
Town Of Naturita Animal Shelter,81422,81422,Naturita,Montrose
Town Of Ordway,81036,81036,Eads,Kiowa
Town Of Platteville Animal Control,80651,80651,Platteville,Weld
Town Of Rangely Animal Shelter,81648,81648,Rangely,Rio Blanco
Town Of Springfield,81073,81073,Springfield,Baca
Town Of Telluride,81435,81435,Telluride,San Miguel
Town Of Walden Animal Shelter,80480,80480,Walden,Jackson
Town Of Walsh,81090,81090,Walsh,Baca
Town Of Westcliffe,81252,81252,Westcliffe,Custer
Trevor's Animal Rescue,80918,80918,Colorado Springs,El Paso
True Blue Pet Rescue,80031,80031,Westminster,Adams
Tumbleweed Country Kennels,80634,80634,Greeley,Weld
Twice Purrfect Feline Rescue,80909,80909,Colorado Springs,El Paso
Two Girls Four Paws All Breed Rescue,80138,80138,Parker,Douglas
"Under The Sun Doggie Daycare And Dog Park, Llc",80226,80226,Denver,Jefferson
Underdog Animal Rescue And Rehab,80108,80108,Castle Rock,Douglas
Underdogs,80134,80134,Parker,Douglas
Until They'Re Home,80132,80132,Monument,El Paso
"Up Pup And Away, Inc",80130,80130,Littleton,Douglas
Upper Rio Grande Animal Society (Conour),81149,81149,Saguache,Saguache
Valley Humane League,81601,81601,Glenwood Springs,Garfield
Valley Pets,80226,80226,Denver,Jefferson
"Vetcor Of Colorado Springs, Llc, Red Hill Animal Health Center",80907,80907,Colorado Springs,El Paso
"Vibrant Pet, Llc",80524,80524,Fort Collins,Larimer
"Victory Service Dogs, Inc",80134,80134,Parker,Douglas
"Vintage Dog Rescue, Inc",80002,80002,Arvada,Jefferson
Voices Of The Wild Foundation,80237,80237,Denver,Denver
W.O.L.F. Sanctuary,80544,80544,Niwot,Boulder
Wagging Dog Rescue,80111,80111,Englewood,Arapahoe
Wags And Whiskers Grooming / Boarding,80226,80226,Denver,Jefferson
Walsenburg Animal Shelter,81089,81089,Walsenburg,Huerfano
Walsh Dog Pound,81090,81090,Walsh,Baca
Walsh Police Department,81090,81090,Walsh,Baca
Western Australian Shepherd Rescue,80210,80210,Denver,Denver
Western Border Collie Rescue,80104,80104,Castle Rock,Douglas
"Westie Rescue Network, Inc",80134,80134,Parker,Douglas
"Wet Mountain Animal Welfare, Llc",81252,81252,Westcliffe,Custer
"Whimpers To Wags, Inc",80111,80111,Englewood,Arapahoe
White Rose Sanctuary,80108,80108,Castle Rock,Douglas
Wild Blue Animal Rescue And Sanctuary,80470,80470,Pine,Jefferson
Wild Blue Cats,80470,80470,Pine,Jefferson
Wild Things Exotic Pets,80915,80915,Colorado Springs,El Paso
Wild Willow Sanctuary,80108,80108,Castle Rock,Douglas
William Adamson / Six Paws Sanctuary,80908,80908,Colorado Springs,El Paso
Willow Run Sanctuary And Adoptions (WRSA),80421,80421,Bailey,Park
Wolfwood,80814,80814,Divide,Teller
Woof And Willow Company,80209,80209,Denver,Denver
World Of Birds,80104,80104,Castle Rock,Douglas
"X And B Pets, Inc",80220,80220,Denver,Denver
Yoga Animals Rescue Foundation,80209,80209,Denver,Denver
