year,start_of_year_date,end_of_year_date,Facility_Name,animal_category,animal_type,start_of_year_in_shelter_count,start_of_year_in_foster_care_count,intake_stray,intake_relinquished,intake_in_state_transfer,intake_out_of_state_transfer,intake_other,outcome_adoption,outcome_return_to_owner,outcome_in_state_transfer,outcome_out_of_state_transfer,outcome_other,outcome_deaths,outcome_euthanasia,outcome_missing_or_stolen,end_of_year_in_shelter_count,end_of_year_in_foster_care_count
2015,2015-01-01,2015-12-31,Humane Society of Boulder Valley,dog,adult,45,4,832,1194,258,1055,83,2357,753,56,8,48,6,1,198,34,6
2015,2015-01-01,2015-12-31,Lucky Day Animal Rescue of Colorado,dog,juvenile,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,1
2015,2015-01-01,2015-12-31,Foothills Animal Shelter,other,birds,0,0,18,38,28,0,1,75,1,6,0,0,0,0,2,1,0
2015,2015-01-01,2015-12-31,Logan County Humane Society,other,small mammals,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Colorado Greyhound Adoption,dog,adult,18,18,0,152,2,0,0,155,0,0,0,0,1,0,3,13,13
2015,2015-01-01,2015-12-31,Southern Colorado Animal Rescue DBA Black Forest Animal Sanctuary,cat,adult,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0
2015,2015-01-01,2015-12-31,Summit County Animal Control and Shelter,cat,juvenile,2,0,18,12,23,19,0,54,4,0,0,0,1,0,1,2,0
2015,2015-01-01,2015-12-31,L.O.L.A.'S Rescue,cat,juvenile,10,10,10,4,16,145,6,176,0,0,0,0,15,0,0,0,0
2015,2015-01-01,2015-12-31,Humane society of the pikes peak region,other,birds,0,0,40,266,0,0,3,124,3,40,0,0,16,0,124,1,0
2015,2015-01-01,2015-12-31,Flitesong Cage Bird Sanctuary,other,birds,59,0,1,0,1,0,0,4,0,0,0,0,7,0,0,50,0
2015,2015-01-01,2015-12-31,Hallcrest Kennel,dog,adult,3,0,32,0,0,0,0,8,24,0,0,0,0,0,0,35,0
2015,2015-01-01,2015-12-31,LIFE IS BETTER RESCUE,cat,adult,6,4,5,5,64,9,0,71,0,1,0,4,2,0,0,18,6
2015,2015-01-01,2015-12-31,Summit County Animal Control and Shelter,dog,adult,11,0,137,30,64,81,60,215,152,3,0,0,0,0,4,15,0
2015,2015-01-01,2015-12-31,Southern Colorado Animal Rescue DBA Black Forest Animal Sanctuary,dog,juvenile,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,"Cisco Kidd, LLC",dog,juvenile,4,0,0,0,4,4,85,97,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,The Dumb Friends League Buddy Center,cat,juvenile,2,0,99,254,2,0,0,428,4,0,0,0,9,0,20,1,4
2015,2015-01-01,2015-12-31,Longmont Humane Society,dog,adult,78,11,949,466,103,384,15,1318,586,31,11,0,3,0,71,67,11
2015,2015-01-01,2015-12-31,Adams County Animal Shelter/ Adoption Center,cat,adult,54,7,789,289,7,0,77,504,96,93,0,0,5,7,417,57,6
2015,2015-01-01,2015-12-31,City of Aurora Animal Shelter,other,rabbits,0,0,6,0,0,0,2,0,0,6,0,0,0,0,0,0,2
2015,2015-01-01,2015-12-31,PETCO / Dumb Friends League,dog,adult,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Rocky Mountain Collie and Sheltie Rescue Inc.,dog,adult,0,17,0,13,16,5,16,49,0,0,0,0,3,0,1,0,14
2015,2015-01-01,2015-12-31,Roice Hurst Humane Society,dog,juvenile,2,0,5,45,10,19,16,98,0,0,1,0,1,0,0,4,0
2015,2015-01-01,2015-12-31,Adoptable Animal Rescue Force,dog,adult,0,0,0,150,0,0,50,200,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Humane Society of Weld County,dog,juvenile,5,0,99,28,0,0,9,90,11,6,0,0,7,0,4,1,14
2015,2015-01-01,2015-12-31,Safe Harbor Lab Rescue,dog,juvenile,0,0,0,0,8,8,0,16,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Every Creature Counts,dog,juvenile,20,0,15,2,175,300,15,495,0,0,0,510,6,0,0,10,0
2015,2015-01-01,2015-12-31,Oh Be Dogful Rescue,dog,adult,7,0,0,4,1,3,1,5,0,0,0,0,1,0,0,7,0
2015,2015-01-01,2015-12-31,Lifeline Pet Rescue,dog,adult,23,0,0,0,11,30,0,40,0,0,0,0,0,0,0,1,0
2015,2015-01-01,2015-12-31,"Colorado Animal Rescue, Inc.",cat,adult,42,3,130,110,30,0,19,193,68,10,0,12,0,0,16,26,2
2015,2015-01-01,2015-12-31,Second Chance Animal Rescue Foundation,cat,adult,0,0,4,19,0,0,0,4,0,19,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,"Animal Rescue Connection, Inc.",cat,juvenile,3,3,0,62,19,4,0,83,0,0,0,0,0,0,3,2,2
2015,2015-01-01,2015-12-31,Eagle Valley Humane Society,cat,adult,12,3,2,48,0,0,0,55,0,0,0,0,0,0,0,8,2
2015,2015-01-01,2015-12-31,Eagle County Animal Shelter & Services,other,reptiles and amphibians,7,0,0,7,0,0,0,4,0,3,0,0,0,0,0,7,0
2015,2015-01-01,2015-12-31,Humane Society of Fremont County,other,small mammals,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,Delta County Humane Society,dog,adult,3,3,23,29,10,0,7,41,16,10,0,0,0,0,0,5,5
2015,2015-01-01,2015-12-31,Leadville/Lake Co Animal Shelter,cat,juvenile,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2015,2015-01-01,2015-12-31,RezDawg Rescue,cat,juvenile,4,4,0,0,0,103,0,85,0,6,0,0,7,0,0,9,9
2015,2015-01-01,2015-12-31,Bear Creek Animal Hospital,dog,adult,14,0,225,22,0,0,0,42,177,25,0,0,0,0,1,1,0
2015,2015-01-01,2015-12-31,SECOND CHANCE HUMANE SOCIETY,cat,adult,28,0,51,26,3,0,0,57,5,0,0,0,3,0,0,43,0
2016,2016-01-01,2016-12-31,"Golden Retriever Freedom Rescue, Inc.",dog,juvenile,0,2,0,1,1,12,0,11,0,0,0,0,0,0,0,0,5
2016,2016-01-01,2016-12-31,Aspen/Pitkin County Animal Shelter,other,birds,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0
2016,2016-01-01,2016-12-31,Adams County Animal Shelter/ Adoption Center,other,other,0,0,3,2,1,0,0,1,2,1,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,No Hound Unhomed,dog,juvenile,4,0,0,0,4,0,0,20,2,6,0,0,0,0,0,2,0
2016,2016-01-01,2016-12-31,Leadville/Lake Co Animal Shelter,cat,adult,2,0,27,4,0,0,8,22,10,5,0,0,0,3,0,2,0
2016,2016-01-01,2016-12-31,Mother Gaia Rescue,cat,juvenile,0,0,0,2,0,13,0,15,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Douglas County Canine Rescue,cat,juvenile,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
2016,2016-01-01,2016-12-31,Adams County Animal Shelter/ Adoption Center,other,rabbits,1,0,17,11,1,0,0,9,0,8,0,0,2,4,0,5,1
2016,2016-01-01,2016-12-31,Colorado Animal Rescue,cat,adult,26,2,122,79,12,0,27,172,33,13,0,1,5,18,0,26,0
2016,2016-01-01,2016-12-31,Foothills Animal Shelter,cat,juvenile,2,12,378,171,223,171,65,896,9,19,0,1,46,45,1,4,1
2016,2016-01-01,2016-12-31,Graceland Animal Rescue,dog,adult,65,65,0,37,10,15,0,56,0,0,1,0,2,0,0,5,5
2016,2016-01-01,2016-12-31,Humane Society of Pagosa Springs,dog,adult,23,0,238,59,5,15,21,123,214,9,0,1,1,0,1,12,0
2016,2016-01-01,2016-12-31,Soul Dog Rescue,cat,juvenile,0,0,54,36,12,14,0,116,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,National Mill Dog Rescue,dog,adult,124,63,6,11,51,725,43,544,1,162,111,0,11,1,2,116,69
2016,2016-01-01,2016-12-31,Humane Society of the Pikes Peak Region,dog,juvenile,5,22,233,100,352,590,96,1200,55,18,0,0,21,30,0,24,37
2016,2016-01-01,2016-12-31,Humane Society of Weld County,dog,juvenile,0,16,178,39,9,0,0,97,33,0,0,0,2,1,0,91,0
2016,2016-01-01,2016-12-31,"Humane Society of the South Platte Valley, Inc.",other,birds,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Fort Morgan Humane Society,other,small mammals,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Animal House Pets & Grooming,dog,adult,14,24,0,4,183,449,141,793,0,0,3,0,2,6,0,2,21
2016,2016-01-01,2016-12-31,"Chihuahua & Small Dog Rescue, Inc.",dog,juvenile,0,0,0,12,12,30,0,44,0,0,0,0,0,0,0,10,10
2016,2016-01-01,2016-12-31,La Plata County Humane Society,other,other,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Mesa County Animal Services,other,small mammals,0,0,9,0,0,0,5,3,0,0,0,6,2,3,0,0,0
2016,2016-01-01,2016-12-31,Eagle Valley Humane Society,dog,juvenile,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Gunnison Valley Animal Welfare League,cat,juvenile,1,0,19,28,8,0,0,54,1,0,0,0,0,0,0,1,0
2016,2016-01-01,2016-12-31,MaxFund Inc.,cat,juvenile,4,5,198,65,5,0,4,266,4,0,0,0,17,22,0,3,12
2016,2016-01-01,2016-12-31,Mile High Dachshunds Rescue,dog,adult,0,8,0,48,14,9,0,71,0,1,0,0,0,0,0,0,8
2016,2016-01-01,2016-12-31,Teller County Regional Animal Shelter,dog,adult,18,2,169,55,20,66,163,222,247,4,0,0,0,7,0,13,0
2016,2016-01-01,2016-12-31,Chow Down Pet Supplies,cat,adult,18,0,20,30,0,2,7,61,0,0,0,0,0,1,0,15,0
2016,2016-01-01,2016-12-31,Rocky Ford Animal Shelter,dog,adult,46,0,34,2,0,0,0,2,32,11,0,0,0,0,0,46,0
2016,2016-01-01,2016-12-31,"Golden Retriever Freedom Rescue, Inc.",dog,adult,0,13,0,20,4,125,0,142,1,0,0,0,0,9,0,0,10
2016,2016-01-01,2016-12-31,Animal Rescue of the Rockies,dog,juvenile,20,20,7,0,56,0,2,56,0,0,0,0,1,0,0,28,28
2016,2016-01-01,2016-12-31,Cat Care Society,cat,adult,68,3,56,62,16,13,62,224,13,2,0,3,0,17,0,67,4
2016,2016-01-01,2016-12-31,Garfield County Animal Welfare Foundation inc dba Rifle Animal Shelter,other,birds,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Mesa County Animal Services,other,birds,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,"Retriever Rescue of Colorado, Inc.",dog,juvenile,4,4,0,0,0,58,30,64,0,0,0,0,2,0,0,26,26
2016,2016-01-01,2016-12-31,Colorado Greyhound Adoption,dog,juvenile,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Scroungy Dogs and Pretty Pups Rescue,dog,juvenile,0,0,0,0,0,43,0,31,0,0,0,0,1,0,0,11,11
2016,2016-01-01,2016-12-31,Oh Be Dogful Pet Ranch,cat,adult,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2016,2016-01-01,2016-12-31,Southern Colorado Spay and Neuter Association,cat,juvenile,24,0,81,32,11,0,0,116,0,0,0,0,6,0,0,26,0
2016,2016-01-01,2016-12-31,City of Aurora Animal Shelter,other,small mammals,0,0,8,4,32,0,7,1,0,45,0,0,0,4,0,0,0
2016,2016-01-01,2016-12-31,Adams County Animal Shelter/ Adoption Center,dog,adult,61,7,2205,805,50,1,218,1205,1344,330,21,0,10,194,3,54,12
2016,2016-01-01,2016-12-31,Second Chance Animal Rescue Foundation,cat,juvenile,0,0,1,57,0,0,0,5,0,52,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Fort Morgan Humane Society,dog,juvenile,0,0,57,4,11,0,0,25,31,16,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Denver Animal Protection,dog,juvenile,4,1,174,25,0,0,57,137,40,66,0,0,3,6,0,10,12
2016,2016-01-01,2016-12-31,RUFF Rescue,dog,juvenile,0,0,0,0,0,135,0,132,0,0,0,132,3,0,0,0,0
2016,2016-01-01,2016-12-31,Animal Welfare & Protection Society,cat,adult,22,0,4,90,2,0,2,92,0,5,0,0,0,2,0,21,0
2016,2016-01-01,2016-12-31,Doggy Dog World Rescue,cat,juvenile,0,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0,0
2016,2016-01-01,2016-12-31,Garfield County Animal Welfare Foundation inc dba Rifle Animal Shelter,other,rabbits,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2016,2016-01-01,2016-12-31,MidAmerica Boston Terrier Rescue,dog,juvenile,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
2016,2016-01-01,2016-12-31,Loma Cat House,cat,adult,74,22,15,5,0,0,0,27,1,0,0,0,2,0,0,62,22
2017,2017-01-01,2017-12-31,Summit County Animal Control and Shelter,dog,juvenile,0,0,6,5,0,24,0,21,3,0,0,0,1,1,0,0,0
2017,2017-01-01,2017-12-31,Logan County Humane Society,other,other,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Colorado Animal Care Foundation,dog,adult,0,2,43,0,0,20,0,60,0,3,0,0,1,0,0,0,1
2017,2017-01-01,2017-12-31,Demi's Animal Rescue,dog,juvenile,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Colorado Beagle Rescue,dog,juvenile,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,1
2017,2017-01-01,2017-12-31,The Gabriel Foundation,dog,adult,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Loma Cat House,cat,adult,62,22,78,12,0,0,0,102,1,0,0,0,4,1,0,58,8
2017,2017-01-01,2017-12-31,THE DENVER DUMB FRIENDS LEAGUE,cat,adult,206,35,1726,3586,456,113,0,4070,340,115,0,120,16,791,0,113,28
2017,2017-01-01,2017-12-31,"Humane Society of Fremont County,Inc.",cat,adult,34,0,221,107,6,0,43,137,16,195,0,1,12,4,0,46,0
2017,2017-01-01,2017-12-31,Logan County Humane Society,cat,juvenile,0,7,77,50,0,0,47,10,1,139,0,0,5,10,0,4,12
2017,2017-01-01,2017-12-31,Colorado Canine Rescue,dog,adult,0,25,0,16,4,41,0,67,0,0,0,0,0,1,0,0,18
2017,2017-01-01,2017-12-31,Eagle County Animal Shelter,dog,adult,10,0,226,30,6,55,13,120,180,19,0,0,1,9,0,11,0
2017,2017-01-01,2017-12-31,City of Aurora Animal Shelter,cat,juvenile,0,2,186,33,30,0,31,119,3,120,0,0,8,24,0,5,1
2017,2017-01-01,2017-12-31,Logan County Humane Society,other,small mammals,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Town of Springfield,dog,adult,0,0,42,0,0,0,4,3,33,4,0,0,0,6,0,0,0
2017,2017-01-01,2017-12-31,PawsCo,cat,adult,0,13,0,1,29,4,0,37,0,0,0,0,0,0,0,0,10
2017,2017-01-01,2017-12-31,Underdogs,cat,juvenile,0,3,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Denver Dachshunds Rescue and Transport,dog,juvenile,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Adoptable Animal Rescue Force,dog,adult,0,5,0,54,0,30,0,87,2,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Foothills Animal Shelter,other,small mammals,11,0,115,191,6,0,5,226,12,54,0,0,6,6,1,8,0
2017,2017-01-01,2017-12-31,LISA PARKER'S PUPPIES,dog,juvenile,0,0,2,2,82,13,0,73,0,29,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,COLORADO WYOMING VIZSLA RESCUE GROUP INC,dog,juvenile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,2017-01-01,2017-12-31,Dumb Friends League Buddy Center,dog,adult,25,0,805,1488,107,895,0,2048,677,72,1,1,0,160,0,36,0
2017,2017-01-01,2017-12-31,CITY OF YUMA ANIMAL SHELTER,dog,adult,0,0,99,0,0,0,0,0,88,6,0,0,0,0,0,5,0
2017,2017-01-01,2017-12-31,Town Of Akron,cat,adult,0,0,9,0,0,0,1,6,1,2,0,0,0,1,0,0,0
2017,2017-01-01,2017-12-31,FOUND NATION ANIMAL RESCUE,other,rabbits,0,0,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Pueblo Animal Services,other,rabbits,0,0,14,0,0,0,5,9,6,3,0,0,0,1,0,0,0
2017,2017-01-01,2017-12-31,Noah's Ark Animal Welfare,cat,juvenile,15,0,106,172,3,30,1,205,3,71,0,0,12,7,1,28,0
2017,2017-01-01,2017-12-31,Divine Feline Inc,cat,adult,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Grand County Animal Shelter/ Robin,other,birds,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,PET ASSOCIATION OF ESTES PARK INC,cat,juvenile,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Southern Colorado Spay-Neuter Association,cat,juvenile,26,0,20,60,20,0,0,78,0,0,0,0,12,0,0,36,0
2017,2017-01-01,2017-12-31,Grand County Animal Shelter/ Robin,other,small mammals,0,0,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Pals Animal Rescue,dog,adult,0,3,0,4,9,0,0,14,0,0,0,0,0,0,0,0,2
2017,2017-01-01,2017-12-31,Fort Morgan Humane Society,cat,juvenile,0,0,48,0,0,0,31,31,0,38,0,0,10,0,0,0,0
2017,2017-01-01,2017-12-31,"Gunnison Underdog Rescue, Inc.",cat,juvenile,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Colorado Puppy Rescue,dog,adult,0,2,0,0,38,154,0,190,0,1,1,0,0,0,0,0,2
2017,2017-01-01,2017-12-31,Western Australian Shepherd Rescue,dog,adult,0,1,0,5,2,32,0,32,0,0,0,0,1,1,0,0,6
2017,2017-01-01,2017-12-31,Friends of Cedaredge Animal Control,cat,adult,22,0,39,36,4,0,0,65,6,1,0,0,0,4,0,12,1
2017,2017-01-01,2017-12-31,"Rocky Mountain Feline Rescue, Inc.",cat,juvenile,0,0,35,72,299,501,0,889,0,0,0,0,13,5,0,0,0
2017,2017-01-01,2017-12-31,ASPEN/ PITKIN COUNTY ANIMAL SHELTER,dog,juvenile,6,0,3,9,95,12,0,114,2,0,0,0,0,0,0,9,0
2017,2017-01-01,2017-12-31,Life is Better Rescue,other,rabbits,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Pearl's Sunrize Sanctuary,other,birds,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0
2017,2017-01-01,2017-12-31,Doggy Dog World Rescue,dog,adult,0,15,1,6,13,181,0,195,0,1,4,0,1,0,0,0,15
2017,2017-01-01,2017-12-31,Friends of Cedaredge Animal Control,dog,adult,4,0,91,33,10,0,0,58,68,8,0,0,0,1,0,2,1
2017,2017-01-01,2017-12-31,Town of Telluride,dog,adult,0,0,42,1,0,0,0,0,42,1,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,Humane Society of the Pikes Peak Region,cat,adult,73,4,2310,1741,12,9,958,2386,372,167,15,924,14,844,1,77,1
2017,2017-01-01,2017-12-31,City of Aurora Animal Shelter,dog,juvenile,5,0,69,8,6,0,38,42,26,42,1,0,5,1,0,8,0
2017,2017-01-01,2017-12-31,The Sunshine Shelter,dog,adult,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2017,2017-01-01,2017-12-31,MidAmerica Boston Terrier Rescue,dog,adult,0,0,0,19,8,9,0,36,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,"Ark-Valley Humane Society, Inc, Buena Vista",dog,juvenile,0,0,8,10,1,3,0,19,2,0,0,0,2,0,0,0,0
2018,2018-01-01,2018-12-31,"Ark-Valley Humane Society, Inc, Salida",dog,juvenile,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Eastern Plains Animal Welfare Alliance,dog,adult,0,2,17,10,15,1,0,25,2,15,0,0,0,1,0,0,2
2018,2018-01-01,2018-12-31,Animal Welfare & Protection Society,other,rabbits,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Colorado Basenji Rescue,dog,adult,0,7,0,7,1,0,0,12,0,0,0,0,0,0,0,0,3
2018,2018-01-01,2018-12-31,New Hope Cattle Dogs Rescue & Rehoming,dog,adult,0,12,0,5,7,234,0,246,0,0,0,0,0,2,0,0,10
2018,2018-01-01,2018-12-31,Aurora Animal Shelter,cat,adult,10,0,195,100,38,5,110,207,82,70,0,4,3,62,3,30,0
2018,2018-01-01,2018-12-31,"Buck'n-R-Ranch Animal Rescue, Inc",cat,adult,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,"Humane Society of Weld County, INC.",other,small mammals,0,0,8,11,0,0,1,17,2,0,0,0,1,0,0,0,0
2018,2018-01-01,2018-12-31,Chow Down Pet Supplies,cat,adult,15,0,22,18,26,2,0,71,0,0,0,0,0,0,0,12,0
2018,2018-01-01,2018-12-31,Friends of Cedaredge Animal Control,cat,juvenile,5,0,102,3,0,0,0,73,0,2,0,0,5,0,0,6,0
2018,2018-01-01,2018-12-31,Colorado Animal Rescue,other,small mammals,0,0,2,12,0,0,1,6,2,6,0,0,0,0,0,1,0
2018,2018-01-01,2018-12-31,Snow Capped Shepherd Rescue,dog,adult,0,8,0,2,7,26,0,33,0,0,0,0,3,0,0,0,7
2018,2018-01-01,2018-12-31,Animal House Pets & Grooming,dog,juvenile,0,0,0,0,6,205,8,212,0,0,0,0,0,0,0,2,5
2018,2018-01-01,2018-12-31,Golden Retriever Freedom Rescue,dog,juvenile,0,3,0,2,6,6,0,17,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Soul DOg Rescue,dog,juvenile,0,12,117,53,211,65,0,185,0,232,0,0,0,5,0,22,14
2018,2018-01-01,2018-12-31,Humane Society of Fremont County,cat,adult,46,0,185,100,5,0,77,159,13,161,0,0,7,7,0,65,0
2018,2018-01-01,2018-12-31,Running Dog Ranch,cat,adult,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Foothills Animal Shelter,other,birds,1,0,32,41,0,0,0,44,3,17,0,2,2,1,0,0,0
2018,2018-01-01,2018-12-31,The Denver Dumb Friends League,other,reptiles and amphibians,3,1,24,65,0,0,0,6,0,74,0,0,0,9,0,2,0
2018,2018-01-01,2018-12-31,"Humane Society of the South Platte Valley, Inc.",dog,adult,32,7,362,171,142,376,59,728,312,30,6,0,2,15,0,47,9
2018,2018-01-01,2018-12-31,Larimer Humane Society,dog,adult,26,4,1281,964,56,218,264,691,1206,68,0,0,3,525,0,48,6
2018,2018-01-01,2018-12-31,Adoptable Animal Rescue Force,dog,juvenile,0,0,0,3,0,17,0,20,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,My Fairy Dawg Mother Rescue,dog,juvenile,0,0,0,0,0,33,0,27,0,0,0,0,0,0,0,0,6
2018,2018-01-01,2018-12-31,Summit County Animal Control,dog,juvenile,0,0,0,0,5,34,1,37,0,0,0,0,1,1,0,0,0
2018,2018-01-01,2018-12-31,Loma Cat House,cat,adult,66,0,60,27,0,0,0,85,0,0,0,7,3,5,1,52,0
2018,2018-01-01,2018-12-31,City of Yuma,dog,adult,0,5,64,0,0,0,0,17,47,4,0,0,0,1,0,0,0
2018,2018-01-01,2018-12-31,Second Chance Animal Rescue Foundation,dog,adult,0,2,6,11,1,4,3,22,1,1,0,0,0,0,0,0,3
2018,2018-01-01,2018-12-31,Perfect Unions Animal Rescue Foundation,dog,juvenile,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Routt County Humane Society,dog,juvenile,0,0,12,13,3,0,2,23,7,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Animal Rescue of the Rockies Cat Casita,cat,adult,0,11,9,6,22,4,0,39,1,0,0,0,0,0,0,0,12
2018,2018-01-01,2018-12-31,"Ark-Valley Humane Society, Inc, Buena Vista",cat,juvenile,0,0,71,52,1,0,5,115,0,3,0,5,4,1,0,0,0
2018,2018-01-01,2018-12-31,Animal House Pets & Grooming,dog,adult,10,19,0,6,41,398,94,533,0,1,0,0,0,9,0,10,15
2018,2018-01-01,2018-12-31,Graceland Animal Rescue & Sanctuary,dog,juvenile,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Animal Rescue of the Rockies,cat,juvenile,0,59,243,0,212,372,12,786,0,0,0,0,8,0,0,0,104
2018,2018-01-01,2018-12-31,Brighter Days Dog Rescue,dog,adult,0,11,0,2,0,105,0,106,0,0,0,0,1,0,0,0,11
2018,2018-01-01,2018-12-31,City of Rocky Ford Animal Shelter,dog,juvenile,0,0,15,0,0,0,0,0,10,5,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,The Animal Assistance League and Sanctuary,cat,adult,0,0,61,31,53,0,0,86,10,36,0,0,5,8,0,0,0
2018,2018-01-01,2018-12-31,Fort Collins Cat Rescue and Spay/Neuter Clinic,cat,juvenile,12,75,100,569,180,881,25,1466,1,7,0,0,32,25,0,20,106
2018,2018-01-01,2018-12-31,"Scroungy Dogs and Pretty Pups Rescue, Inc.",dog,adult,0,13,0,0,0,26,0,36,0,0,0,0,0,0,0,0,3
2018,2018-01-01,2018-12-31,Mile Higjh German Shorthaired Pointer Rescue,dog,adult,0,4,0,16,5,9,0,24,0,0,0,0,0,0,0,0,10
2018,2018-01-01,2018-12-31,Grand Rivers Humane Society,cat,juvenile,0,0,0,79,30,0,0,108,0,0,0,0,1,0,0,0,0
2018,2018-01-01,2018-12-31,New Hope Rescue Inc.,cat,juvenile,0,0,5,16,0,151,19,179,0,0,0,0,8,1,0,0,3
2018,2018-01-01,2018-12-31,Rocky Mountain Siamese Rescue,cat,juvenile,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0
2018,2018-01-01,2018-12-31,Humane Society of the Pikes Peak Region,other,rabbits,9,0,94,173,3,5,20,254,6,0,0,0,7,21,0,6,7
2018,2018-01-01,2018-12-31,"Westie Rescue Network, Inc.",dog,adult,0,1,0,7,8,1,0,16,1,0,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Eagle County Animal Shelter,other,birds,0,0,4,3,0,0,0,5,0,2,0,0,0,0,0,0,0
2018,2018-01-01,2018-12-31,Paws and Effect Canine Rescue of Colorado,dog,adult,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
